[2023-02-11 16:06:46,942][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp9hvecin0
[2023-02-11 16:06:46,943][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp9hvecin0/_remote_module_non_sriptable.py
[2023-02-11 16:06:47,171][__main__][INFO] - Searching /home/goroyeh/GKT/segmentation/logs.
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Added key: store_based_barrier_key:1 to store for rank: 0
[2023-02-11 16:06:54,003][torch.distributed.distributed_c10d][INFO] - Rank 0: Completed store-based barrier for key:store_based_barrier_key:1 with 4 nodes.
[2023-02-11 16:06:58,485][cross_view_transformer.tabular_logger][WARNING] - Missing logger folder: /home/goroyeh/GKT/segmentation/logs/lightning_logs
[2023-02-11 16:14:56,492][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011323, train/loss/visible_step:0.011239, train/loss/center_step:0.000843, epoch:1, step:2449
[2023-02-11 16:15:05,326][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.013431, train/loss/visible_step:0.013358, train/loss/center_step:0.000726, epoch:1, step:2499
[2023-02-11 16:15:14,165][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.009276, train/loss/visible_step:0.009218, train/loss/center_step:0.000575, epoch:1, step:2549
[2023-02-11 16:15:22,984][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012392, train/loss/visible_step:0.012320, train/loss/center_step:0.000720, epoch:1, step:2599
[2023-02-11 16:15:31,800][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.017239, train/loss/visible_step:0.017113, train/loss/center_step:0.001254, epoch:1, step:2649
[2023-02-11 16:15:40,671][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.011583, train/loss/visible_step:0.011527, train/loss/center_step:0.000557, epoch:1, step:2699
[2023-02-11 16:15:49,510][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.012067, train/loss/visible_step:0.011987, train/loss/center_step:0.000804, epoch:1, step:2749
[2023-02-11 16:15:58,361][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.014169, train/loss/visible_step:0.014093, train/loss/center_step:0.000758, epoch:1, step:2799
[2023-02-11 16:16:07,225][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.015462, train/loss/visible_step:0.015347, train/loss/center_step:0.001156, epoch:1, step:2849
[2023-02-11 16:16:16,029][cross_view_transformer.tabular_logger][INFO] - train/loss_step:0.006839, train/loss/visible_step:0.006794, train/loss/center_step:0.000444, epoch:1, step:2899
